Accuracy,Top-5 Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Weighted F1-Score
0.4234297812279464,0.7240649258997883,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
0.4234297812279464,0.7452364149611856,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
0.4234297812279464,0.671136203246295,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
0.4234297812279464,0.7452364149611856,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
0.4234297812279464,0.7452364149611856,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
0.4234297812279464,0.671136203246295,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
0.4234297812279464,0.7452364149611856,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
0.4234297812279464,0.671136203246295,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
0.4234297812279464,0.7240649258997883,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
0.4234297812279464,0.671136203246295,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
0.4234297812279464,0.671136203246295,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
0.4234297812279464,0.671136203246295,0.028228652081863093,0.17929277963074652,0.06666666666666667,0.4234297812279464,0.2519165778252532
